0;0;182016
0;0;21504
0;0;27648
1;0;48384
1;0;55296
1;0;156672
18;13;182016
18;13;21504
18;13;27648
49;19;182016
49;19;21504
49;19;27648
56;19;182016
56;19;21504
56;19;27648
44;21;48384
44;21;55296
44;21;156672
39;22;182016
39;22;21504
39;22;27648
53;22;182016
53;22;21504
53;22;27648
82;22;182016
82;22;21504
82;22;27648
49;23;182016
49;23;21504
49;23;27648
56;23;48384
56;23;55296
56;23;156672
62;23;182016
62;23;21504
62;23;27648
79;23;182016
79;23;21504
79;23;27648
37;25;182016
37;25;21504
37;25;27648
82;25;48384
82;25;55296
82;25;156672
62;27;182016
62;27;21504
62;27;27648
68;27;48384
68;27;55296
68;27;156672
79;27;182016
79;27;21504
79;27;27648
35;29;182016
35;29;21504
35;29;27648
57;47;48384
57;47;55296
57;47;156672
65;47;48384
65;47;55296
65;47;156672
69;47;48384
69;47;55296
69;47;156672
17;48;48384
17;48;55296
17;48;156672
21;48;48384
21;48;55296
21;48;156672
24;48;48384
24;48;55296
24;48;156672
72;50;48384
72;50;55296
72;50;156672
34;51;182016
34;51;21504
34;51;27648
17;52;48384
17;52;55296
17;52;156672
22;52;182016
22;52;21504
22;52;27648
76;52;182016
76;52;21504
76;52;27648
68;53;182016
68;53;21504
68;53;27648
72;53;48384
72;53;55296
72;53;156672
17;55;48384
17;55;55296
17;55;156672
20;55;48384
20;55;55296
20;55;156672
24;55;48384
24;55;55296
24;55;156672
72;56;48384
72;56;55296
72;56;156672
101;57;48384
101;57;55296
101;57;156672
103;57;48384
103;57;55296
103;57;156672
17;59;48384
17;59;55296
17;59;156672
46;59;182016
46;59;21504
46;59;27648
101;60;48384
101;60;55296
101;60;156672
108;60;48384
108;60;55296
108;60;156672
90;62;48384
90;62;55296
90;62;156672
92;62;48384
92;62;55296
92;62;156672
95;62;48384
95;62;55296
95;62;156672
101;62;48384
101;62;55296
101;62;156672
104;62;182016
104;62;21504
104;62;27648
109;62;48384
109;62;55296
109;62;156672
50;63;48384
50;63;55296
50;63;156672
