0 ,0 ,188 ,183 ,162
1 ,0 ,188 ,183 ,162
2 ,0 ,188 ,183 ,163
3 ,0 ,188 ,183 ,163
4 ,0 ,187 ,182 ,161
5 ,0 ,187 ,182 ,161
6 ,0 ,187 ,182 ,161
7 ,0 ,185 ,180 ,159
8 ,0 ,185 ,180 ,159
9 ,0 ,189 ,184 ,163
10 ,0 ,192 ,185 ,165
11 ,0 ,191 ,184 ,164
12 ,0 ,187 ,179 ,162
13 ,0 ,184 ,176 ,159
14 ,0 ,182 ,176 ,159
15 ,0 ,181 ,175 ,158
16 ,0 ,183 ,177 ,160
17 ,0 ,188 ,182 ,165
18 ,0 ,191 ,185 ,169
19 ,0 ,189 ,183 ,167
20 ,0 ,183 ,176 ,165
21 ,0 ,181 ,174 ,163
22 ,0 ,179 ,173 ,166
23 ,0 ,178 ,172 ,165
24 ,0 ,178 ,172 ,166
25 ,0 ,177 ,171 ,165
26 ,0 ,176 ,170 ,164
27 ,0 ,177 ,171 ,165
28 ,0 ,178 ,172 ,166
29 ,0 ,178 ,172 ,166
30 ,0 ,177 ,171 ,165
31 ,0 ,178 ,172 ,166
32 ,0 ,181 ,174 ,171
33 ,0 ,182 ,175 ,172
34 ,0 ,181 ,175 ,169
35 ,0 ,183 ,177 ,171
36 ,0 ,186 ,177 ,172
37 ,0 ,184 ,175 ,170
38 ,0 ,181 ,172 ,167
39 ,0 ,180 ,171 ,166
40 ,0 ,179 ,170 ,165
41 ,0 ,180 ,171 ,166
42 ,0 ,181 ,172 ,167
43 ,0 ,182 ,173 ,168
44 ,0 ,179 ,170 ,165
45 ,0 ,178 ,169 ,164
46 ,0 ,177 ,168 ,163
47 ,0 ,177 ,168 ,163
48 ,0 ,179 ,171 ,164
49 ,0 ,181 ,173 ,166
50 ,0 ,187 ,177 ,168
51 ,0 ,188 ,178 ,169
52 ,0 ,188 ,179 ,166
53 ,0 ,186 ,177 ,164
54 ,0 ,182 ,174 ,158
55 ,0 ,181 ,173 ,157
56 ,0 ,183 ,175 ,158
57 ,0 ,183 ,175 ,158
58 ,0 ,181 ,173 ,156
59 ,0 ,182 ,174 ,157
60 ,0 ,183 ,176 ,156
61 ,0 ,182 ,175 ,155
62 ,0 ,182 ,175 ,154
63 ,0 ,182 ,175 ,154
64 ,0 ,181 ,174 ,153
65 ,0 ,181 ,174 ,153
66 ,0 ,181 ,174 ,153
67 ,0 ,182 ,175 ,154
68 ,0 ,182 ,175 ,154
69 ,0 ,181 ,174 ,153
70 ,0 ,182 ,175 ,154
71 ,0 ,184 ,177 ,156
72 ,0 ,183 ,176 ,155
73 ,0 ,183 ,176 ,155
74 ,0 ,183 ,176 ,155
75 ,0 ,181 ,174 ,153
76 ,0 ,180 ,173 ,152
77 ,0 ,181 ,174 ,153
78 ,0 ,178 ,173 ,152
79 ,0 ,177 ,172 ,151
80 ,0 ,178 ,173 ,152
81 ,0 ,180 ,175 ,154
82 ,0 ,180 ,175 ,155
83 ,0 ,178 ,173 ,153
84 ,0 ,179 ,174 ,154
85 ,0 ,179 ,174 ,154
86 ,0 ,177 ,174 ,154
87 ,0 ,176 ,173 ,153
88 ,0 ,176 ,173 ,153
89 ,0 ,178 ,175 ,155
90 ,0 ,178 ,175 ,155
91 ,0 ,177 ,174 ,154
92 ,0 ,178 ,173 ,153
93 ,0 ,178 ,173 ,153
94 ,0 ,175 ,172 ,152
95 ,0 ,174 ,171 ,151
96 ,0 ,176 ,173 ,153
97 ,0 ,176 ,173 ,153
